中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
中央政府建设公债及借款条例	中央政府建設公債及借款條例	Central Government Development Bonds and Loans Act	zhong1 yang1 zheng4 fu3 jian4 she4 gong1 zhai4 ji2 jie4 kuan3 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:101	tw-judicial-31780bd2cfa27e35fd00	OGDL-Taiwan-1.0	source_attributed			
中央政府总预算	中央政府總預算	Central Government's budgets	zhong1 yang1 zheng4 fu3 zong3 yu4 suan4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:103	tw-judicial-4d9277d04fea6aa6c20e	OGDL-Taiwan-1.0	source_attributed			
中央机关	中央機關	central government agency	zhong1 yang1 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:106	tw-judicial-cc47d838f707f65007b4	OGDL-Taiwan-1.0	source_attributed			
中央民意代表	中央民意代表	congressperson	zhong1 yang1 min2 yi4 dai4 biao3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:98	tw-judicial-e4a9394869a661effda1	OGDL-Taiwan-1.0	source_attributed			
中央民意机构	中央民意機構	parliament; national legislative bodies	zhong1 yang1 min2 yi4 ji1 gou4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:99	tw-judicial-2596f9b832238da35c7d	OGDL-Taiwan-1.0	source_attributed			
中央法规标准法	中央法規標準法	Central Regulation Standard Act	zhong1 yang1 fa3 gui1 biao1 zhun3 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:100	tw-judicial-176584a42ec3ecd8ba81	OGDL-Taiwan-1.0	source_attributed			
中央警察大学组织条例	中央警察大學組織條例	Organization Act of the Central Police University	zhong1 yang1 jing3 cha2 da4 xue2 zu3 zhi1 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:107	tw-judicial-a78c435efbc5218662bc	OGDL-Taiwan-1.0	source_attributed			
中央银行法	中央銀行法	The Central Bank of the Republic of China (Taiwan) Act	zhong1 yang1 yin2 hang2 fa3	finance	待核查	TW	statute	憲法法庭書記廳		tw-judicial:105	tw-judicial-dc3c49e03b58f8307dce	OGDL-Taiwan-1.0	source_attributed			
中小企业发展条例	中小企業發展條例	Act for Development of Small and Medium Enterprises	zhong1 xiao3 qi3 ye4 fa1 zhan3 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:95	tw-judicial-9b447517fe46e11ca4c7	OGDL-Taiwan-1.0	source_attributed			
中药	中藥	Chinese medicine	zhong1 yao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:116	tw-judicial-43e4975ad653df03282a	OGDL-Taiwan-1.0	source_attributed			
临时会	臨時會	extraordinary session	lin2 shi2 hui4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1992	tw-judicial-6feb6d3fd4233b62521a	OGDL-Taiwan-1.0	source_attributed			
主任	主任	Director	zhu3 ren4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:249	tw-judicial-e9d41c573cfad2f4fd9f	OGDL-Taiwan-1.0	source_attributed			
主任公设辩护人	主任公設辯護人	Chief Public Defender	zhu3 ren4 gong1 she4 bian4 hu4 ren2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:250	tw-judicial-96447c1ed414582fc1e3	OGDL-Taiwan-1.0	source_attributed			
主任公证人	主任公證人	Chief Notary Public	zhu3 ren4 gong1 zheng4 ren2	unclassified	待核查	TW	role	司法行政廳		tw-judicial:251	tw-judicial-bf9b236aa48bb5e6d818	OGDL-Taiwan-1.0	source_attributed			
主任医师	主任醫師	Chief Doctor	zhu3 ren4 yi1 shi1	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:256	tw-judicial-5e845106f32b4ad4d948	OGDL-Taiwan-1.0	source_attributed			
主任参事	主任參事	Chief Counselor	zhu3 ren4 can1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:252	tw-judicial-b116cb01dc3b11922b7f	OGDL-Taiwan-1.0	source_attributed			
主任参事室	主任參事室	Chief Counselor	zhu3 ren4 can1 shi4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:253	tw-judicial-e937f817c922f47f0025	OGDL-Taiwan-1.0	source_attributed			
主任商业调查官	主任商業調查官	Chief Commercial Investigation Officer	zhu3 ren4 shang1 ye4 diao4 cha2 guan1	unclassified	待核查	TW	unclassified	資訊處		tw-judicial:254	tw-judicial-be0abfa683dedd4edea0	OGDL-Taiwan-1.0	source_attributed			
主任观护人	主任觀護人	Chief Probation Officer	zhu3 ren4 guan1 hu4 ren2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:257	tw-judicial-5556707d2b6cb44c7723	OGDL-Taiwan-1.0	source_attributed			
主任调查保护官	主任調查保護官	Chief Investigation and Probation Officer	zhu3 ren4 diao4 cha2 bao3 hu4 guan1	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:255	tw-judicial-5f8273af2069dcdba5fc	OGDL-Taiwan-1.0	source_attributed			
主体、实体	主體、實體	entity		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:189	tw-tipo-trademark-b21ca699a739f126b8a9	OGDL-Taiwan-1.0	source_attributed			
主刑	主刑	primary sentence	zhu3 xing2	criminal	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:258	tw-judicial-4d05166eec04d40cc9fa	OGDL-Taiwan-1.0	source_attributed			
主商标	主商標	house mark	zhu3 shang1 biao1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:274	tw-tipo-trademark-b5a03072d59d0da07587	OGDL-Taiwan-1.0	source_attributed			
主机室	主機室	Computer Facilities	zhu3 ji1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:263	tw-judicial-0e49e49b3d87547f3838	OGDL-Taiwan-1.0	source_attributed			
主管地政机关	主管地政機關	agency in charge of land administration	zhu3 guan3 di4 zheng4 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:260	tw-judicial-3d00eb3a76497a41696e	OGDL-Taiwan-1.0	source_attributed			
主管机关	主管機關	agency-in-charge; authority	zhu3 guan3 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:262	tw-judicial-1cce8fc4e4437dbd19e1	OGDL-Taiwan-1.0	source_attributed			
主管机关	主管機關	competent authority	zhu3 guan3 ji1 guan1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:96	tw-tipo-trademark-32960957d84b6e53d30b	OGDL-Taiwan-1.0	source_attributed			
主管稽征机关	主管稽徵機關	competent taxing authority	zhu3 guan3 ji1 zheng1 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:261	tw-judicial-e7c5d7ddf14c63e81bd1	OGDL-Taiwan-1.0	source_attributed			
主要印象	主要印象	principal impression	zhu3 yao4 yin4 xiang4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:291	tw-tipo-trademark-c921c9eece91fc49db61	OGDL-Taiwan-1.0	source_attributed			
主要注册簿	主要註冊簿	principal register	zhu3 yao4 zhu4 ce4 bu4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:428	tw-tipo-trademark-ac8bb5a808bf4e50c489	OGDL-Taiwan-1.0	source_attributed			
主要涵义	主要涵義	primary meaning	zhu3 yao4 han2 yi4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:427	tw-tipo-trademark-286965dc2e697acf54fb	OGDL-Taiwan-1.0	source_attributed			
主计机构人员设置管理条例	主計機構人員設置管理條例	Statues for Establishment and Management of Budget, Accounting and Statistics Agencies and BAS Personnel	zhu3 ji4 ji1 gou4 ren2 yuan2 she4 zhi4 guan3 li3 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:259	tw-judicial-81c12c9309cd38590d66	OGDL-Taiwan-1.0	source_attributed			
举证责任	舉證責任	burden of proof	ju3 zheng4 ze2 ren4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1993	tw-judicial-30a4e134f6aa4a0067c1	OGDL-Taiwan-1.0	source_attributed			
举证责任分配之法则	舉證責任分配之法則	doctrine of distribution of the burden of proof	ju3 zheng4 ze2 ren4 fen1 pei4 zhi1 fa3 ze2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1994	tw-judicial-f26678b3ca3e1261d902	OGDL-Taiwan-1.0	source_attributed			
九二一震灾重建暂行条例	九二一震災重建暫行條例	Provisional Act Governing 921 Earthquake Post-Disaster Reconstruction	jiu3 er4 yi1 zhen4 zai1 chong2 jian4 zan4 xing2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:9	tw-judicial-d47fb67647257b0fe6cd	OGDL-Taiwan-1.0	source_attributed			
习惯	習慣	custom	xi2 guan4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1322	tw-judicial-7e580e7a0d9f62b46fbe	OGDL-Taiwan-1.0	source_attributed			
乡、镇、市、区公所	鄉、鎮、市、區公所	office of hsiang, township, city, or precinct		unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1512	tw-judicial-3b0747c17df2677b5fce	OGDL-Taiwan-1.0	source_attributed			
书记	書記	Associate Clerk	shu1 ji4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1014	tw-judicial-ae9f2082d1f3a2c680bf	OGDL-Taiwan-1.0	source_attributed			
书记官	書記官	Clerk	shu1 ji4 guan1	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1015	tw-judicial-cf8442d79e1ce6d8b4d1	OGDL-Taiwan-1.0	source_attributed			
书记官席	書記官席	Clerk	shu1 ji4 guan1 xi2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1018	tw-judicial-21698daa635b7e2a226b	OGDL-Taiwan-1.0	source_attributed			
书记官长	書記官長	Chief Clerk	shu1 ji4 guan1 zhang3	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1016	tw-judicial-416d28e480aeaf6e40b5	OGDL-Taiwan-1.0	source_attributed			
书记官长室	書記官長室	Chief Clerk Office	shu1 ji4 guan1 zhang3 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1017	tw-judicial-f352d6380c9fad44ca55	OGDL-Taiwan-1.0	source_attributed			
书记长（政党）	書記長（政黨）	Secretary General		unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1019	tw-judicial-960c767a69179e4b7a66	OGDL-Taiwan-1.0	source_attributed			
书面劳动合同	書面勞動合同	written employment contract	shu1 mian4 lao2 dong4 he2 tong2	employment	CN	INTERNATIONAL	document	中华人民共和国劳动合同法（2012修正）	建立劳动关系原则上应订立书面劳动合同；已实际用工但未同时订立的，应当自用工之日起一个月内订立。	oll-cn-admin-labor:cn-labor-written-contract	cn-labor-written-contract	CC-BY-4.0	project_authored	用人单位与劳动者以书面形式订立的劳动合同。	项目释译，非官方译文；employment contract 在本项目中对应劳动合同，避免与一般 service contract 混同。	中华人民共和国劳动合同法（2012修正） 第10条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
书面同意	書面同意	written consent	shu1 mian4 tong2 yi4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:611	tw-tipo-trademark-66e8af843289d5773d6c	OGDL-Taiwan-1.0	source_attributed			
书面形式	書面形式	written form	shu1 mian4 xing2 shi4	contracts	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	可随时调取查用并能有形表现内容的电子邮件等，视为书面形式。	oll-cn-core:cn-written-form	cn-written-form	CC-BY-4.0	project_authored	能够有形表现所载内容的合同形式，包括符合条件的数据电文。	项目释译，非官方译文；written form 不限于纸张和手写签名。	中华人民共和国民法典（2020） 第469条 https://www.court.gov.cn/zixun/xiangqing/233181.html
书面文件	書面文件	written document	shu1 mian4 wen2 jian4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:612	tw-tipo-trademark-90d358adefc67e3b6729	OGDL-Taiwan-1.0	source_attributed			
书面请求	書面請求	written request	shu1 mian4 qing3 qiu2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:613	tw-tipo-trademark-3b7995050f058e0a35d6	OGDL-Taiwan-1.0	source_attributed			
书面通知	書面通知	written notice	shu1 mian4 tong1 zhi1	unclassified	待核查	TW	unclassified	民事廳		tw-judicial:1013	tw-judicial-411e11a3e1a536f9d2e2	OGDL-Taiwan-1.0	source_attributed			
争议解决方案	爭議解決方案	ADR	zheng1 yi4 jie3 jue2 fang1 an4	intellectual_property	待核查	TW	abbreviation	A13070000G		tw-tipo-trademark:14	tw-tipo-trademark-186a3a10380d3a34b9bf	OGDL-Taiwan-1.0	source_attributed			
争议解决方案	爭議解決方案	Alternative Dispute Resolution	zheng1 yi4 jie3 jue2 fang1 an4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:15	tw-tipo-trademark-b5d096971353b458081d	OGDL-Taiwan-1.0	source_attributed			
事件之本质	事件之本質	Natur der Sache	shi4 jian4 zhi1 ben3 zhi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:687	tw-judicial-a47b59fa5b29b2c2359f	OGDL-Taiwan-1.0	source_attributed			
事假	事假	Paid Leave for Personal Affair	shi4 jia4	unclassified	待核查	TW	unclassified	人事處		tw-judicial:689	tw-judicial-4205cb633366d4b664d2	OGDL-Taiwan-1.0	source_attributed			
事前审查	事前審查	prior censorship	shi4 qian2 shen3 cha2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:688	tw-judicial-b7dffa4bd78ebcf2c26b	OGDL-Taiwan-1.0	source_attributed			
事实上功能性	事實上功能性	De Facto Function	shi4 shi2 shang4 gong1 neng2 xing4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:126	tw-tipo-trademark-9d471618a4dd324dd0c7	OGDL-Taiwan-1.0	source_attributed			
事实审	事實審	trial on matters of fact	shi4 shi2 shen3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:690	tw-judicial-4578748c2a4c9637d940	OGDL-Taiwan-1.0	source_attributed			
事实真相、是非曲直	事實真相、是非曲直	merits		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:361	tw-tipo-trademark-56afc9f14a9328cd8aff	OGDL-Taiwan-1.0	source_attributed			
二元诉讼制度	二元訴訟制度	dual system of litigation	er4 yuan2 su4 song4 zhi4 du4	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:10	tw-judicial-4912258ea915495e5135	OGDL-Taiwan-1.0	source_attributed			
互惠待遇	互惠待遇	reciprocal treatment	hu4 hui4 dai4 yu4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:462	tw-tipo-trademark-54d2bb01c64b3227bca4	OGDL-Taiwan-1.0	source_attributed			
五权分立	五權分立	Five Power Division	wu3 quan2 fen1 li4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:118	tw-judicial-5683662ba6e61b9bf01c	OGDL-Taiwan-1.0	source_attributed			
五边形	五邊形	pentagon	wu3 bian1 xing2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:404	tw-tipo-trademark-41a1d4692a3fe90f22f2	OGDL-Taiwan-1.0	source_attributed			
五院制	五院制	Five-Yuan System	wu3 yuan4 zhi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:117	tw-judicial-32fcd467d8c4e21a6919	OGDL-Taiwan-1.0	source_attributed			
交付观察	交付觀察	Empirical execution （Release on observation ）	jiao1 fu4 guan1 cha2	unclassified	待核查	TW	unclassified	少年及家事廳		tw-judicial:421	tw-judicial-0339fc5c44e8d64c2523	OGDL-Taiwan-1.0	source_attributed			
交叉检索	交叉檢索	cross-search	jiao1 cha1 jian3 suo3	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:122	tw-tipo-trademark-609f8b508ba2e377b64f	OGDL-Taiwan-1.0	source_attributed			
交易前后手	交易前後手	antecedent and subsequent parties to transaction	jiao1 yi4 qian2 hou4 shou3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:422	tw-judicial-6f36def3e0d85b5d53e8	OGDL-Taiwan-1.0	source_attributed			
交易管道	交易管道	channels of trade	jiao1 yi4 guan3 dao4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:67	tw-tipo-trademark-d3fc3bfa78ff4237eb78	OGDL-Taiwan-1.0	source_attributed			
交通工具排放空气污染物罚锾标准	交通工具排放空氣污染物罰鍰標準	Imposition of Fine Standards for Air Pollution Exhausted by Motor Vehicles	jiao1 tong1 gong1 ju4 pai2 fang4 kong1 qi4 wu1 ran3 wu4 fa2 huan2 biao1 zhun3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:423	tw-judicial-4fa0d4421a340f61665b	OGDL-Taiwan-1.0	source_attributed			
交通纪录科	交通紀錄科	Traffic Affairs Recording Section	jiao1 tong1 ji4 lu4 ke1	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:424	tw-judicial-6d351831883c9ca15df8	OGDL-Taiwan-1.0	source_attributed			
产业升级	產業升級	upgrading industries	chan3 ye4 sheng1 ji2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1285	tw-judicial-b12a635de0bd027f256b	OGDL-Taiwan-1.0	source_attributed			
产品或服务与产地之关联性	產品或服務與產地之關聯性	Goods/Place or Services/Place Association	chan3 pin3 huo4 fu2 wu4 yu3 chan3 di4 zhi1 guan1 lian2 xing4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:264	tw-tipo-trademark-548b4de1a78f0ba33350	OGDL-Taiwan-1.0	source_attributed			
